ItemId,ItemName,Price,Availability,LastUpdated,HighestBuyOrder,Qty
ancientbearingt1,Ancient Bearing,3.89,1,2023-05-21T09:41:24.88464,2.23,729.0
bearpawt3,Ancient Bear Paw,10.0,7,2023-05-21T09:55:55.039685,,
intstrbonust1,Ancient Bone Totem,15.98,5,2023-05-21T09:56:15.620279,14.93,105.0
ancientdustt1,Ancient Dust,54.0,11,2023-05-21T09:51:50.090389,5.1,7.0
ancientfemurt1,Ancient Femur,11.98,1,2023-05-21T09:42:07.19573,6.0,68.0
ancientectoplasm,Ancient Glob of Ectoplasm,269.0,10,2023-05-21T09:43:21.272978,220.0,8.0
focstrbonust1,Ancient Jawbone,16.49,5,2023-05-21T09:56:18.283667,13.2,150.0
ancientmandiblet1,Ancient Mandible,9777.0,1,2023-05-21T09:43:54.29628,7135.89,2.0
house_housingitem_legion_decor_potterywheel,Ancient Pottery Wheel,7.9,2,2023-05-13T16:55:37.709939,,
ancientskullt1,Ancient Skull,5.7,3,2023-05-21T09:41:39.747185,1.05,113.0
ancienttalismanst1,Ancient Talismans,1.65,28,2023-05-21T09:50:39.724852,1.35,2055.0
ancienttextst1,Ancient Texts,80.0,1,2023-05-21T09:42:55.979554,50.0,9.0
focintbonust1,Ancient Wooden Talisman,9.17,15,2023-05-21T09:55:49.877426,6.01,88.0
clawt1,Animal Claw,2.76,22,2023-05-21T09:55:09.075253,0.25,246.0
animaleyet1,Animal Eye,0.16,10,2023-05-21T09:44:53.395911,0.14,4190.0
fangt1,Animal Fang,0.2,249,2023-05-21T09:54:30.534314,0.01,6127.0
hornt5,Animal Horn,33.49,30,2023-05-21T09:51:24.950115,3.05,19.0
animalviscerat1,Animal Viscera,8.74,13,2023-05-21T09:45:43.957522,4.5,448.0
fishinganmisemat5,Anmisema,124.0,1,2023-05-21T09:48:11.331245,19.0,32.0
applet1,Apple,0.61,271,2023-05-21T09:46:38.717692,0.22,605.0
fooddexfoct2,Apple Pie,1.05,2,2023-05-21T10:00:17.471946,,
aquamarinet2,Aquamarine,0.85,35,2023-05-21T09:40:12.945272,0.58,3705.0
fishingegedeserpet5,Aquanaja,22.2,5,2023-05-17T20:15:24.625405,,
fishingsnailsmallt2,Aquatic Snail,5.0,14,2023-05-21T09:47:32.572353,3.55,477.0
1hrapier_archmagessteelwandt4,Archmage's Steel Wand,100.0,1,2022-12-30T19:40:21.453912,,
1hgauntletice_arcticduskt3,Arctic Dusk,45.0,1,2022-12-30T19:36:04.121978,,
foodfoct5b,Armadillo Jocon,296.0,12,2023-05-21T10:03:52.189905,85.0,1.0
armorersjournalt1,Armorer's Journal,5199.9,3,2023-05-21T09:43:52.157349,3999.99,3.0
armorscrapst3,Armor Fragments,159.99,8,2023-05-21T09:57:51.700313,120.02,44.0
armorscrapst2,Armor Scraps,0.65,94,2023-05-21T09:54:43.442981,0.13,4019.0
armorscrapst1,Armor Shards,10.0,2,2023-05-21T09:55:53.606793,,
house_housingitem_settler_armoire01_a,Ash Armoire,55.0,1,2023-05-13T16:56:11.355546,,
house_housingitem_chair_settler_stool_a,Ash Bar Stool,19.8,1,2023-05-10T20:26:24.799185,,
house_housingitem_settler_cabinet02_a,Ash Cabinet,20.0,1,2023-05-13T16:55:46.29199,,
house_housingitem_chair_settler_chair02_a,Ash Casual Chair,50.0,1,2023-05-10T20:26:47.415641,,
house_housingitem_settler_cabinet01_a,Ash Chest of Drawers,45.0,5,2023-05-13T16:56:03.556235,,
house_housingitem_table_settler_desk01_a,Ash Desk,45.0,2,2023-05-13T16:56:03.556235,,
house_housingitem_chair_settler_chair01_a,Ash Dining Chair,70.0,1,2023-05-13T16:56:18.229337,,
house_housingitem_settler_dresser01_a,Ash Dresser,40.0,1,2023-05-13T16:56:01.013798,,
2hstafffire_ashencurset5,Ashen Curse,380.0,1,2022-12-30T19:45:42.640289,,
house_housingitem_table_settler_bedsidetable_a,Ash End Table,34.0,1,2023-05-13T16:55:55.115526,,
house_housingitem_bed_settler_bed02_a,Ash Full Bed,14.0,1,2023-05-13T16:55:42.130884,,
house_housingitem_settler_bookcase02_a,Ash Large Bookcase,30.0,1,2023-05-12T16:56:43.364701,,
house_housingitem_table_settler_table02_a,Ash Large Table,80.0,1,2023-05-13T16:56:24.438718,,
ashresint1,Ash Resin,1.27,1,2023-05-21T09:54:54.486081,0.04,1942.0
house_housingitem_settler_bookcase01_a,Ash Small Bookcase,80.0,1,2023-05-13T16:56:23.832771,,
house_housingitem_table_settler_table01_a,Ash Small Table,10.0,1,2023-05-13T16:55:40.920913,,
woodstaint2,Ash Stain,0.05,2948,2023-05-21T09:50:13.741071,,
house_housingitem_settler_shelf01_a,Ash Wall Shelf,37.0,1,2023-05-13T16:55:56.920351,,
ingott51,Asmodeum,117.0,11,2023-05-21T09:49:39.277595,108.32,9.0
trinket_bandt51,Asmodeum Band,900.0,1,2023-05-21T09:53:28.816855,101.02,9.0
trinket_chaint51,Asmodeum Chain,799.0,1,2023-05-07T13:22:39.086361,,
trinket_hookt51,Asmodeum Hook,600.0,1,2023-05-10T20:18:21.899928,,
trinket_settingt51,Asmodeum Setting,599.0,1,2023-05-19T00:21:00.728367,,
1hlongsword_athousandvoicest5,A Thousand Voices,89.0,1,2022-12-30T19:39:30.800973,,
dyeb161,Aurora Blue Dye,8.89,2,2023-05-21T10:01:55.613464,1.24,77.0
dyeb142,Autumn Moss Dye,2.3,10,2023-05-21T10:00:37.31466,1.02,90.0
dyeb144,Avocado Dye,2.46,1,2023-05-21T10:00:39.055412,0.52,98.0
azothwatert1,Azoth Water,3.8,139,2023-05-21T09:45:33.711632,3.29,599.0
azuritechunkt1,Azurite Chunk,3.89,128,2023-05-21T09:41:24.88464,2.85,252.0
foodstrdext5,Bacon-Wrapped Scallops,23.86,20,2023-05-21T10:02:42.218251,12.0,40.0
foodfoct3,Baked Fish Filet,14.94,50,2023-05-21T10:02:20.631056,,
dyeb175,Baked Red Clay Dye,4.56,3,2023-05-21T10:01:11.688674,3.62,63.0
1hlongsword_balanceoftimet3,Balance of Time,400.0,1,2022-12-30T19:46:07.977207,,
house_housingitem_dynasty_decor_floor_plant02,Bamboo Display Vase,950.0,1,2023-05-13T16:58:51.575909,500.0,3.0
barbvinet1,Barbvine,8.25,1,2023-05-21T09:41:52.054706,6.61,610.0
barkflesht1,Barkflesh,5.0,4,2023-05-21T09:41:37.503786,1.75,136.0
barleyt1,Barley,4.96,15,2023-05-21T09:47:31.675248,3.94,101.0
house_housingitem_buff_damage_vs_ancients_t2,Basic Ancients Combat Trophy,595.0,1,2023-05-13T16:58:23.975195,,
house_housingitem_buff_damage_vs_angryearth_t2,Basic Angry Earth Combat Trophy,888.88,1,2023-05-13T16:58:43.431215,,
house_housingitem_buff_alchemy_bonus_t2,Basic Arcana Crafting Trophy,999.0,1,2023-05-13T16:58:55.825971,55.99,1.0
house_housingitem_buff_outfitting_bonus_t2,Basic Armoring Crafting Trophy,9799.0,1,2023-05-13T17:00:07.722531,4000.09,1.0
house_housingitem_buff_cooking_bonus_t2,Basic Cooking Crafting Trophy,1199.0,1,2023-05-13T16:59:07.276592,57.35,1.0
house_housingitem_buff_damage_vs_corrupted_t2,Basic Corrupted Combat Trophy,450.0,1,2023-05-13T16:58:09.661613,100.0,1.0
house_housingitem_buff_engineering_bonus_t2,Basic Engineering Crafting Trophy,2000.0,1,2023-05-13T16:59:28.465245,,
house_housingitem_buff_fishing_bonus_t2,Basic Fishing Gathering Trophy,1917.96,1,2023-05-13T16:59:24.430321,50.0,1.0
house_housingitem_buff_harvesting_bonus_t2,Basic Harvesting Gathering Trophy,1583.0,1,2023-05-13T16:59:19.686351,55.0,1.0
house_housingitem_buff_damage_vs_varangian_t2,Basic Human Combat Trophy,2672.5,1,2023-05-13T16:59:34.867514,1467.01,1.0
house_housingitem_buff_logging_bonus_t2,Basic Logging Gathering Trophy,2499.0,1,2023-05-13T16:59:32.294251,555.0,1.0
house_housingitem_buff_luck_bonus_t2,Basic Loot Luck Trophy,11496.0,1,2023-05-13T17:00:09.304322,3457.0,1.0
house_housingitem_buff_damage_vs_lost_t2,Basic Lost Combat Trophy,650.0,1,2023-05-13T16:58:31.153017,,
house_housingitem_buff_mining_bonus_t2,Basic Mining Gathering Trophy,1990.0,1,2023-05-13T16:59:25.669453,555.0,1.0
house_housingitem_buff_skinning_bonus_t2,Basic Skinning Gathering Trophy,1300.0,1,2023-05-13T16:59:11.638846,60.0,1.0
house_housingitem_buff_blacksmithing_bonus_t2,Basic Weaponsmithing Crafting Trophy,942.99,1,2023-05-13T16:58:48.63299,,
house_housingitem_buff_damage_vs_beasts_t2,Basic Wildlife Combat Trophy,249.0,1,2023-05-13T16:57:35.663178,,
basilt1,Basil,0.8,68,2023-05-21T09:46:46.481214,0.66,1413.0
2hgreataxe_battleaxeofprecisecalculationst4,Battleaxe of Precise Calculations,300.0,1,2022-12-30T19:44:35.392976,,
strconbonust1,Bear Blood,15.88,2,2023-05-21T09:56:14.165685,14.5,6.0
foodstrcont4,Bear Flank Pinwheels,69.95,31,2023-05-21T10:03:22.269408,10.0,5.0
house_housingitem_settler_decor_painting01,"""Bear in Meadow"" Painting",89.0,1,2023-05-13T16:56:29.412509,,
2hmusket_beastofburdent5,Beast of Burden,250.0,1,2022-12-30T19:44:18.704451,,
house_housingitem_cloth_tapestry_b,Bedsheet Curtains,38.0,1,2023-05-13T16:55:57.535201,,
foodstrt5b,Beef Braciole,118.0,43,2023-05-21T10:03:40.596322,41.0,30.0
beeswaxt1,Beeswax,5.0,33,2023-05-21T09:41:37.05197,2.64,65.0
set_azothflute_part1_page1,Before the Storm Azoth Flute Sheet Music Page 1/2,0.69,3,2023-04-03T18:15:12.959951,,
set_azothflute_part1_page2,Before the Storm Azoth Flute Sheet Music Page 2/2,0.29,13,2023-04-03T18:14:50.930609,,
berryt1,Berry,0.29,100,2023-05-21T09:46:20.551648,0.4,2598.0
foodarcanistt4,Berry Brew,15.0,100,2023-05-21T10:02:22.199044,,
foodfocdext4,Berry Glazed Roasted Ham,25.99,8,2023-05-21T10:02:47.257045,,
dyeb163,Berry Pit Dye,3.0,7,2023-05-21T10:00:48.707196,1.08,80.0
house_housingitem_settler_decor_painting02,"""Beyond the Gate"" Painting",375.0,1,2023-05-13T16:57:55.496702,,
foodintt2,Blackened Fish Filet,3.0,6,2023-05-21T10:00:50.254117,,
foodfoct5,Blackened Lava Barb with Corn Succotash,199.97,6,2023-05-12T16:55:17.344765,,
foodcondext5,Blackened Ray-Finned Barb with Fondant Potatoes and Barley,53.34,49,2023-03-31T18:36:41.220772,,
house_housingitem_table_pirate_table01_d,Black-lacquered Dining Table,1100.0,1,2023-05-13T16:59:04.696321,,
house_housingitem_pirate_shelf01_d,Black-lacquered Galley Shelf,1300.0,1,2023-05-13T16:59:12.414014,,
house_housingitem_pirate_bedsidetable_d,Black-lacquered Half-Barrel Table,799.0,2,2023-05-13T16:58:38.956549,,
house_housingitem_lighting_pirate_lightceiling01_d,Black-lacquered Helm Chandelier,8000.0,1,2023-05-07T13:39:58.584392,,
house_housingitem_pirate_bookcase01_d,Black-lacquered Low Bookcase,1500.0,1,2023-05-13T16:59:19.51807,,
house_housingitem_pirate_armoire01_d,Black-lacquered Scrolled Armoire,1500.0,1,2023-05-13T16:59:18.567538,,
house_housingitem_table_pirate_desk01_d,Black-lacquered Scrolled Desk,1500.0,1,2023-05-13T16:59:19.51807,,
house_housingitem_pirate_cabinet01_d,Black-lacquered Short Dresser,2000.0,1,2023-05-13T16:59:27.955456,,
house_housingitem_table_pirate_table02_d,Black-lacquered Small Table,900.0,1,2023-05-13T16:58:46.000876,,
house_housingitem_pirate_bookcase02_d,Black-lacquered Tall Bookcase,699.0,1,2023-05-13T16:58:33.09561,,
house_housingitem_pirate_cabinet02_d,Black-lacquered Tall Dresser,1999.0,2,2023-05-13T16:59:27.346509,,
house_housingitem_table_pirate_dresser01_d,Black-lacquered Vanity Table,1000.0,1,2023-05-12T16:59:44.176641,,
pigmentblack,Black Pigment,1.69,9,2023-05-21T09:48:25.917439,1.04,97.0
blackpowderpoucht1,Black Powder Pouch,0.95,8,2023-05-21T09:50:30.279796,1.05,1693.0
blacksmitharm_guitar_part1_page1,Blacksmith Arm Guitar Sheet Music Page 1/3,6.65,1,2023-04-03T18:16:52.562883,,
blacksmitharm_guitar_part1_page2,Blacksmith Arm Guitar Sheet Music Page 2/3,0.27,11,2023-04-03T18:14:49.816518,,
blacksmitharm_guitar_part1_page3,Blacksmith Arm Guitar Sheet Music Page 3/3,0.89,2,2023-04-03T18:15:24.109854,,
blacksmitharm_mandolin_part1_page1,Blacksmith Arm Mandolin Sheet Music Page 1/3,1.52,1,2023-04-03T18:15:45.900298,,
blacksmitharm_mandolin_part1_page2,Blacksmith Arm Mandolin Sheet Music Page 2/3,0.23,10,2023-04-03T18:14:45.444736,,
blacksmitharm_mandolin_part1_page3,Blacksmith Arm Mandolin Sheet Music Page 3/3,44.0,1,2023-04-03T18:18:11.800055,,
blacksmitharm_urbass_part1_page1,Blacksmith Arm Upright Bass Sheet Music Page 1/3,0.69,1,2023-04-03T18:15:12.789296,,
blacksmitharm_urbass_part1_page2,Blacksmith Arm Upright Bass Sheet Music Page 2/3,0.08,18,2023-04-03T18:14:29.929108,,
blacksmitharm_urbass_part1_page3,Blacksmith Arm Upright Bass Sheet Music Page 3/3,0.89,6,2023-04-03T18:15:24.109854,,
2hstafffire_bleakfirestafft3,Bleak Fire Staff,100.0,1,2022-12-30T19:40:42.086232,,
blessedcruciblet1,Blessed Crucible,34.72,4,2023-05-21T09:42:31.534249,8.12,50.0
blessedsceptert1,Blessed Scepter,2.35,51,2023-05-21T09:41:03.83176,2.41,334.0
blightmothdustt1,Blightmoth Dust,48.0,1,2023-05-21T09:45:55.353732,44.17,35.0
blightroott3,Blightroot Flower,3.3,30,2023-05-21T09:45:32.52751,2.0,471.0
blightroott2,Blightroot Leaf,0.5,65,2023-05-21T09:45:01.462135,0.61,322.0
blightroott1,Blightroot Stem,0.71,62,2023-05-21T09:45:04.204253,0.55,9451.0
2hbow_blindjusticet5,Blind Justice,100.0,1,2022-12-30T19:40:17.66536,,
blisterweavet1,Blisterweave,8.52,718,2023-05-21T09:41:52.410842,7.04,560.0
2hgreataxe_bloodbanereavert5,Bloodbane Reaver,199.0,1,2022-12-30T19:43:05.489704,,
2hspear_bloodeaglespeart5,Blood Eagle Spear,468.0,1,2022-12-30T19:46:41.659517,,
2hmusket_bloodlustmusketst5,Bloodlust,50.0,1,2022-12-30T19:37:51.091858,,
2hspear_bloodrightt4,Bloodright,100.0,1,2022-12-30T19:41:01.524927,,
bloodsporet1,Bloodspore Bloom,0.25,55,2023-05-21T09:44:56.286417,0.04,2.0
house_housingitem_pirate_decor_placesetting03,Bloody Place Setting,25.0,1,2023-05-13T16:55:49.668522,,
house_housingitem_pirate_decor_curtain02_c,Bloody Posh Curtains,249.0,1,2023-05-13T16:57:34.69262,,
house_housingitem_pirate_decor_curtain01_c,Bloody Posh Valance,950.0,2,2023-05-13T16:58:51.575909,,
house_housingitem_pirate_decor_curtain03_c,Bloody Ragged Curtains,20.8,1,2023-05-13T16:55:47.265876,,
house_housingitem_chair_pirate_chair01_c,Bloody Velvet Armchair,398.0,1,2023-05-13T16:57:58.79456,,
house_housingitem_bed_pirate_bed01_c,Bloody Velvet Captain's Bed,199.0,1,2023-05-13T16:57:22.253643,,
house_housingitem_chair_pirate_chair02_c,Bloody Velvet Dining Chair,500.0,1,2023-05-13T16:58:17.935985,,
house_housingitem_chair_pirate_stool_c,Bloody Velvet Footstool,698.0,2,2023-05-13T16:58:32.484332,,
bloom_guitar_part1_page1,Bloom and Breathe Guitar Sheet Music Page 1/3,0.58,1,2023-04-03T18:15:11.398326,,
bloom_guitar_part1_page2,Bloom and Breathe Guitar Sheet Music Page 2/3,20.0,1,2023-04-03T18:17:44.292531,,
bloom_guitar_part1_page3,Bloom and Breathe Guitar Sheet Music Page 3/3,5.0,1,2023-04-03T18:16:42.226612,,
house_housingitem_legion_decor_floorbin01_b,Blooming Agave Plant,220.0,1,2023-05-13T16:57:29.158378,1.0,6.0
blueberryt1,Blueberry,0.25,86,2023-05-21T09:46:19.451659,0.24,804.0
foodcondext4,Blueberry Glazed Ham Hock with Steamed Vegetables,19.85,100,2023-05-21T10:02:33.196976,,
foodstrfoct3,Blueberry Pie,4.3,1,2023-05-21T10:01:08.065105,,
fishingtessiet5,Blue-blooded Barb,50.0,2,2023-05-21T09:48:01.552056,15.01,20.0
pigmentblue,Blue Pigment,1.38,15,2023-05-21T09:48:25.021934,0.5,48.0
fishingmerliont5,Blue-Winged Serpe,94.0,2,2023-05-21T09:48:08.108169,25.0,23.0
strfocbonust1,Boar Blood,16.15,36,2023-05-21T09:56:17.135096,15.17,55.0
boartuskt1,Boar Tusk,3.0,16,2023-05-21T09:55:12.464002,0.01,8797.0
foodlumberjackt2,Boiled Cabbage,10.0,42,2023-05-21T10:02:06.131603,,
foodminert3,Boiled Potatoes,10.0,5,2023-05-21T10:02:06.131603,,
corruptedclotht3,Bolt of Corrupted Cloth,1.45,9,2023-05-21T09:54:57.114681,0.5,9.0
house_housingitem_storage_t3_pirate,Booty Storage Chest,800.0,1,2023-05-13T16:58:40.722274,101.0,1.0
foodintdext4,Braised Wolf Loin,49.5,100,2023-05-21T10:03:08.576462,,
house_housingitem_lighting_pirate_lighttable01_d,Brass Candelabra,145.99,1,2023-05-13T16:56:59.494621,,
house_housingitem_pirate_decor_telescope01,Brass Telescope,60000.0,1,2023-05-13T17:00:16.881753,12333.0,1.0
2hstafffire_breachhuntersfirestafft3,Breach Hunter's Fire Staff,100.0,1,2022-12-30T19:41:16.219794,,
breadt1,Bread,3.0,2112,2023-05-21T09:47:24.833883,,
baitfreshbreadt1,Bread Bait,0.59,78,2023-05-21T10:00:03.54588,0.01,8476.0
foodharvestert4,Breakfast Bread,6.0,8,2023-05-21T10:01:36.663073,1.0,47.0
briarbudst1,Briar Buds,0.15,115,2023-05-21T09:44:53.182503,0.07,5305.0
brightscalehidet1,Brightscale Hide,3.5,11,2023-05-21T09:41:19.983498,1.0,3357.0
ambert3,Brilliant Amber,2.05,1,2023-05-21T09:40:56.737659,2.08,900.0
amethystt3,Brilliant Amethyst,2.05,1,2023-05-21T09:40:56.737659,2.09,883.0
animust3,Brilliant Animus,3883.0,1,2023-05-21T09:58:17.233592,3600.21,5.0
aquamarinet3,Brilliant Aquamarine,2.57,108,2023-05-21T09:41:05.99143,2.59,886.0
carneliant3,Brilliant Carnelian,2.02,2,2023-05-21T09:40:55.401421,2.01,897.0
corruptedinsigniat3,Brilliant Corrupted Insignia,0.62,1,2023-05-21T09:54:43.224051,0.1,1494.0
diamondt3,Brilliant Diamond,2.01,3,2023-05-21T09:40:55.145936,2.03,885.0
emeraldt3,Brilliant Emerald,2.0,1,2023-05-21T09:40:54.515306,2.03,896.0
jaspert3,Brilliant Jasper,2.27,80,2023-05-21T09:41:00.871059,2.04,899.0
malachitet3,Brilliant Malachite,2.01,1,2023-05-21T09:40:55.145936,2.02,878.0
moonstonet3,Brilliant Moonstone,2.21,28,2023-05-21T09:40:59.361449,2.21,899.0
onyxt3,Brilliant Onyx,4.39,145,2023-05-21T09:41:31.461013,3.7,153.0
opalt3,Brilliant Opal,2.0,3,2023-05-21T09:40:54.162698,2.01,892.0
pearlt3,Brilliant Pearl,157.0,62,2023-05-21T09:43:13.47461,135.67,9.0
rubyt3,Brilliant Ruby,2.5,3,2023-05-21T09:41:05.703844,3.49,1040.0
sapphiret3,Brilliant Sapphire,2.03,3,2023-05-21T09:40:55.401421,2.01,887.0
topazt3,Brilliant Topaz,2.84,69,2023-05-21T09:41:10.150598,2.03,882.0
broccolit1,Broccoli,1.18,22,2023-05-21T09:47:03.625323,0.31,766.0
brokenbladet5,Broken Blade,13.99,3,2023-05-21T09:42:10.349103,2.0,369.0
house_housingitem_windchimes_post_c,Broken Chime Post,100.0,2,2023-05-13T16:56:43.810481,,
brokenhatchett1,Broken Hatchet,8.79,3,2023-05-21T09:41:55.656361,2.05,136.0
house_housingitem_lighting_pirate_lighttable01_b,Bronze Candelabra,59.0,1,2023-05-13T16:56:12.328749,,
house_housingitem_legion_decor_acorn01_a,Bronze Strobilus Charm,174.0,1,2023-05-13T16:57:08.889498,,
house_housingitem_rug_bearpelt,Brown Bear Pelt Rug,99.0,4,2023-05-13T16:56:38.880108,,
pigmentbrown,Brown Pigment,10.49,4,2023-05-21T09:48:28.925117,3.46,100.0
house_housingitem_dynasty_decor_table_stationary03,Brush Set with Parcels,135.0,1,2023-05-13T16:56:56.066412,,
bulrushcobt1,Bulrush Cob,0.88,6,2023-05-21T09:45:07.393106,0.54,10000.0
bumbleblossomt1,Bumbleblossom,1.9,100,2023-05-21T09:45:24.166617,1.23,2736.0
house_housingitem_hangingsackssm_b,Burlap Sack,89.0,1,2023-05-13T16:56:29.143385,6.0,1.0
dyeb167,Burnished Lilac Dye,8.99,2,2023-05-12T16:53:02.861445,,
house_housingitem_bed_legion_bed01_b,Burnt Copper Lounge Bed,6000.0,1,2023-05-13T17:00:03.660887,,
house_housingitem_lighting_legion_lighttable01_b,Burnt Copper Short Oil Lamp,70000.0,1,2023-04-17T17:08:11.146327,,
house_housingitem_lighting_legion_lightfloor01_b,Burnt Copper Tall Oil Lamp,45000.0,1,2023-05-13T17:00:16.881753,,
house_housingitem_lighting_legion_lightwall01_b,Burnt Copper Wall Brazier,19999.0,1,2023-05-13T17:00:13.834464,3000.0,1.0
buttert1,Butter,0.7,10,2023-05-21T09:46:42.773358,,
wcconsumable_buttercreampudding,Buttercream Pudding,14.0,95,2023-05-21T10:02:18.335898,0.55,49.0
dyeb134,Buttered Rum Dye,15.94,15,2023-05-21T10:02:25.552447,1.0,66.0
foodconintt2,Butter Poached Game,1.5,10,2023-05-21T10:00:24.120037,,
foodfocstrt5,Butter Poached Oysters on Angel Hair,28.21,17,2023-05-21T10:02:49.104413,,
cabbaget1,Cabbage,0.39,243,2023-05-21T09:46:27.035582,0.2,8255.0
foodlumberjackt4,Cabbage-Wrapped Roasted Fish,22.1,24,2023-05-21T10:02:40.036902,,
cactusflesht1,Cactus Flesh,0.88,19,2023-05-21T09:46:49.871716,0.34,588.0
dyeb174,Cactus Sage Dye,0.77,6,2023-05-21T10:00:07.691454,1.0,70.0
foodintt4,Calamari and Tomato Stew,8.4,49,2023-05-21T10:01:53.117177,0.25,62.0
2hmusket_calamityt3,Calamity,99.99,1,2022-12-30T19:40:01.361919,,
house_housingitem_dynasty_decor_table_stationary01,Calligraphy Brush Set,800.0,1,2023-05-13T16:58:39.287697,,
ancient_azothflute_part1_page1,Call of the Ancients Azoth Flute Sheet Music Page 1/1,2000.0,1,2023-04-03T18:19:20.368451,,
ancient_azothflute_part2_page1,Call of the Ancients Second Azoth Flute Sheet Music Page 1/2,1.9,1,2023-04-03T18:15:52.246534,,
ancient_azothflute_part2_page2,Call of the Ancients Second Azoth Flute Sheet Music Page 2/2,2.9,1,2023-04-03T18:16:05.477973,,
mangyhidet3,Callus Mangy Hide,0.05,15,2023-05-21T09:54:16.78821,0.02,3056.0
house_housingitem_settler_decor_shelf_potsandpans02,Campfire Cooking Set,85.0,1,2023-05-13T16:56:27.224871,,
foodintstrt2,Campfire Stew,10.8,10,2023-05-21T10:02:10.988729,,
house_housingitem_lighting_candle_bunch_a,Candle Cluster,949.0,2,2023-05-13T16:58:49.565263,,
house_housingitem_pirate_decor_drinkset01,Canteen Set,999.0,1,2023-05-13T16:58:54.265347,,
house_housingitem_lighting_pirate_lightwall01_b,"Captain Quicksilver's Lamp, Bronze Replica",70.0,1,2023-05-13T16:56:17.385013,,
house_housingitem_lighting_pirate_lightwall01_c,"Captain Quicksilver's Lamp, Gold Replica",999.9,1,2023-05-13T16:58:57.648926,,
house_housingitem_lighting_pirate_lightwall01_d,"Captain Quicksilver's Lamp, Original",9999.0,1,2023-05-13T17:00:08.918795,101.0,1.0
house_housingitem_lighting_pirate_lightwall01_a,"Captain Quicksilver's Lamp, Silver Replica",443.0,4,2023-05-07T13:38:17.681522,,
house_housingitem_pirate_bathtub01,Captain's Bath,85.0,1,2023-05-13T16:56:27.224871,,
house_housingitem_pirate_decor_maptools01,Captain's Writing Set,1800.0,1,2023-05-13T16:59:22.864709,,
fooddexfoct5,Carbonara,7.35,25,2023-05-21T10:01:46.122992,,
carneliant2,Carnelian,0.5,29,2023-05-21T09:39:59.398053,0.5700000000000001,1489.0
carrott1,Carrot,4.47,136,2023-05-21T09:47:30.145951,4.05,253.0
foodstrcont5,Carrot Cake,14.69,100,2023-05-21T10:02:20.180155,6.01,100.0
foodhuntert3,Carrot Soup,20.0,46,2023-05-21T10:02:35.849685,,
house_housingitem_pirate_decor_maptools02,Cartographer's Tools,39.5,1,2023-05-13T16:55:58.427456,,
house_housingitem_chair_dynasty_chair01_b,Carved Ebony Armchair,2499.0,1,2023-05-13T16:59:32.530318,,
house_housingitem_chair_dynasty_stool_b,Carved Ebony Stool,2500.0,4,2023-05-07T13:39:33.929925,,
house_housingitem_chair_dynasty_chair01_d,Carved Jade Armchair,1333.0,4,2023-05-13T16:59:12.591778,,
